,Track,Artist,Region,Country,Sub_Region,Track_n_Region,days_on_chart,first_appeared_date
1,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,ar,Argentina,South America,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version ar,158,3/9/2017
2,Aventura,Pijama Party,ar,Argentina,South America,Aventura ar,170,1/3/2017
3,Castle on the Hill,Ed Sheeran,ar,Argentina,South America,Castle on the Hill ar,177,1/5/2017
4,Balada Del Diablo y La Muerte,La Renga,ar,Argentina,South America,Balada Del Diablo y La Muerte ar,170,1/24/2017
5,Something Just Like This,The Chainsmokers,ar,Argentina,South America,Something Just Like This ar,173,2/22/2017
6,Galway Girl,Ed Sheeran,ar,Argentina,South America,Galway Girl ar,162,3/2/2017
7,Stay (with Alessia Cara),Zedd,ar,Argentina,South America,Stay (with Alessia Cara) ar,169,2/23/2017
8,Pa Ti,Bad Bunny,ar,Argentina,South America,Pa Ti ar,166,2/27/2017
9,Deja De Llorar,El Polaco,ar,Argentina,South America,Deja De Llorar ar,155,12/31/2016
10,Sé Que Te Duele,Alejandro Fernandez,ar,Argentina,South America,Sé Que Te Duele ar,160,2/11/2017
11,Fuego,Juanes,ar,Argentina,South America,Fuego ar,151,12/31/2016
12,Slide,Calvin Harris,ar,Argentina,South America,Slide ar,145,2/27/2017
13,Symphony (feat. Zara Larsson),Clean Bandit,ar,Argentina,South America,Symphony (feat. Zara Larsson) ar,142,3/16/2017
14,Lo Intentamos,Marama,ar,Argentina,South America,Lo Intentamos ar,150,12/31/2016
16,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,ar,Argentina,South America,Swalla (feat. Nicki Minaj & Ty Dolla $ign) ar,141,3/26/2017
17,No Te Hagas,Jory Boy,ar,Argentina,South America,No Te Hagas ar,156,3/19/2017
18,Te Vas,Ozuna,ar,Argentina,South America,Te Vas ar,158,12/31/2016
19,A las Nueve,No Te Va Gustar,ar,Argentina,South America,A las Nueve ar,153,1/3/2017
20,Noche Loca,Marama,ar,Argentina,South America,Noche Loca ar,160,12/31/2016
25,Shape of You (Latin Remix) [feat. Zion & Lennox],Ed Sheeran,ar,Argentina,South America,Shape of You (Latin Remix) [feat. Zion & Lennox] ar,151,3/16/2017
26,No Te Hagas,DJ Yayo,ar,Argentina,South America,No Te Hagas ar,156,3/19/2017
31,Cake By The Ocean,DNCE,ar,Argentina,South America,Cake By The Ocean ar,152,12/31/2016
33,Issues,Julia Michaels,ar,Argentina,South America,Issues ar,142,2/1/2017
35,Olha a Explosão,MC Kevinho,ar,Argentina,South America,Olha a Explosão ar,145,3/18/2017
37,Baila Morena,Dame 5,ar,Argentina,South America,Baila Morena ar,168,2/27/2017
38,Amor y dolor,Carlos Baute,ar,Argentina,South America,Amor y dolor ar,166,12/31/2016
39,Si Tu Novio Te Deja Sola,J Balvin,ar,Argentina,South America,Si Tu Novio Te Deja Sola ar,164,3/3/2017
40,My Way,Calvin Harris,ar,Argentina,South America,My Way ar,178,12/31/2016
44,Papi Shampu,De La Calle,ar,Argentina,South America,Papi Shampu ar,162,12/31/2016
46,Cold Water (feat. Justin Bieber & MØ),Major Lazer,ar,Argentina,South America,Cold Water (feat. Justin Bieber & MØ) ar,173,12/31/2016
48,Trátame Suavemente - Remasterizado 2007,Soda Stereo,ar,Argentina,South America,Trátame Suavemente - Remasterizado 2007 ar,162,1/1/2017
51,Personalmente,Las Pelotas,ar,Argentina,South America,Personalmente ar,167,1/31/2017
55,Say You Won't Let Go,James Arthur,ar,Argentina,South America,Say You Won't Let Go ar,175,1/1/2017
57,SUBEME LA RADIO,Enrique Iglesias,ar,Argentina,South America,SUBEME LA RADIO ar,172,2/23/2017
58,Ride,Twenty One Pilots,ar,Argentina,South America,Ride ar,174,12/31/2016
61,Por Fin Te Encontré,Cali Y El Dandee,ar,Argentina,South America,Por Fin Te Encontré ar,162,12/31/2016
67,It Ain't Me (with Selena Gomez),Kygo,ar,Argentina,South America,It Ain't Me (with Selena Gomez) ar,178,2/15/2017
70,One Dance,Drake,ar,Argentina,South America,One Dance ar,161,12/31/2016
73,Hula Hoop,Daddy Yankee,ar,Argentina,South America,Hula Hoop ar,165,3/2/2017
78,Su Novio Anterior,El Villano,ar,Argentina,South America,Su Novio Anterior ar,148,1/2/2017
88,Persiana Americana,Soda Stereo,ar,Argentina,South America,Persiana Americana ar,155,12/31/2016
89,Ahora Dice,Chris Jeday,ar,Argentina,South America,Ahora Dice ar,147,3/20/2017
91,Don't Let Me Down,The Chainsmokers,ar,Argentina,South America,Don't Let Me Down ar,179,12/31/2016
92,Rocanroles Sin Destino,Callejeros,ar,Argentina,South America,Rocanroles Sin Destino ar,164,1/1/2017
95,Deja vu,Prince Royce,ar,Argentina,South America,Deja vu ar,165,2/23/2017
98,Paris,The Chainsmokers,ar,Argentina,South America,Paris ar,166,1/12/2017
121,Perfect,Ed Sheeran,ar,Argentina,South America,Perfect ar,165,3/2/2017
457,Escápate Conmigo,Wisin,ar,Argentina,South America,Escápate Conmigo ar,144,3/23/2017
458,Si Tú La Ves,Nicky Jam,ar,Argentina,South America,Si Tú La Ves ar,151,3/16/2017
479,Hear Me Now,Alok,ar,Argentina,South America,Hear Me Now ar,150,1/1/2017
487,Diabla - Official Remix,Farruko,ar,Argentina,South America,Diabla - Official Remix ar,143,3/24/2017
737,Persiana Americana,Agapornis,ar,Argentina,South America,Persiana Americana ar,155,12/31/2016
4208,Me Gusta,Ciro y los Persas,ar,Argentina,South America,Me Gusta ar,200,1/10/2017
4210,DUELE EL CORAZON,Enrique Iglesias,ar,Argentina,South America,DUELE EL CORAZON ar,190,12/31/2016
4211,Hasta el Amanecer,Nicky Jam,ar,Argentina,South America,Hasta el Amanecer ar,189,12/31/2016
4212,Se Pone Loca,CantoParaBailar,ar,Argentina,South America,Se Pone Loca ar,183,12/31/2016
4213,Lumbra,Cali Y El Dandee,ar,Argentina,South America,Lumbra ar,198,1/19/2017
4220,Me Rehúso,Danny Ocean,ar,Argentina,South America,Me Rehúso ar,199,1/27/2017
4233,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",DJ Luian,ar,Argentina,South America,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo) ar",186,2/9/2017
4236,Scared to Be Lonely,Martin Garrix,ar,Argentina,South America,Scared to Be Lonely ar,185,1/26/2017
4245,Alguien Robo,Sebastian Yatra,ar,Argentina,South America,Alguien Robo ar,186,2/9/2017
4247,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,ar,Argentina,South America,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"") ar",186,12/31/2016
4263,Stressed Out,Twenty One Pilots,ar,Argentina,South America,Stressed Out ar,198,12/31/2016
4264,That's What I Like,Bruno Mars,ar,Argentina,South America,That's What I Like ar,183,2/12/2017
4265,Believer,Imagine Dragons,ar,Argentina,South America,Believer ar,182,2/2/2017
5111,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,ar,Argentina,South America,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"" ar",214,1/1/2017
5113,Spaghetti del Rock,Divididos,ar,Argentina,South America,Spaghetti del Rock ar,220,1/1/2017
5114,Starboy,The Weeknd,ar,Argentina,South America,Starboy ar,208,12/31/2016
5115,La Rompe Corazones,Daddy Yankee,ar,Argentina,South America,La Rompe Corazones ar,211,1/15/2017
